Name of City,State,Type,Population (2011),Population class
Thana Bhawan,Uttar Pradesh,Nagar Panchayat.,"36,669",Class III
Ramdurg,Karnataka,Urban Agglomeration,"36,649",
Pulgaon,Maharashtra,Municipal Council,"36,522",
Sadasivpet,Telangana,Municipality,"36,334",
Nargund,Karnataka,Town Municipal Council,"36,291",Class III
Neem-Ka-Thana,Rajasthan,Municipality,"36,231",Class III
Memari,West Bengal,Municipality,"36,207",
Nilanga,Maharashtra,Municipal Council,"36,172",Class III
Naharlagun,Arunachal Pradesh,Notified Town,"36,158",Class III
Pakaur,Jharkhand,Municipality,"36,029",
Wai,Maharashtra,Municipal Council,"36,025",Class III
Tarikere,Karnataka,Town Municipal Council,"35,942",Class III
Malavalli,Karnataka,Town Municipal Council,"35,851",
Raisen,Madhya Pradesh,Municipality,"35,702",
Lahar,Madhya Pradesh,Nagar Panchayat,"35,674",Class III
Uravakonda,Andhra Pradesh,Census town,"35,565",Class III
Savanur,Karnataka,Town Municipal Council,"35,563",
Sirohi,Rajasthan,Municipality,"35,544",
Udhampur,Jammu and Kashmir,Urban Agglomeration,"35,507",Class III
Umarga,Maharashtra,Municipal Council,"35,477",Class III
Pratapgarh,Rajasthan,Municipality,"35,422",
Lingsugur,Karnataka,Town Municipal Council,"35,411",Class III
Usilampatti,Tamil Nadu,Municipality,"35,219",Class III
Palia Kalan,Uttar Pradesh,Municipal board,"35,029",
Wokha,Nagaland,Town Committee / Town Area Committee.,"35,004",Class III
Rajpipla,Gujarat,Municipality,"34,923",
Vijayapura,Karnataka,Town Municipal Council,"34,866",Class III
Rawatbhata,Rajasthan,Municipality,"34,690",
Sangaria,Rajasthan,Municipality,"34,537",
Paithan,Maharashtra,Municipal Council,"34,518",
Rahuri,Maharashtra,Municipal Council,"34,476",
Patti,Punjab,Municipal Council,"34,444",
Zaidpur,Uttar Pradesh,Nagar Panchayat,"34,443",Class III
Lalsot,Rajasthan,Municipality,"34,363",Class III
Maihar,Madhya Pradesh,Municipality,"34,342",
Vedaranyam,Tamil Nadu,Municipality,"34,266",Class III
Nawapur,Maharashtra,Municipal Council,"34,207",Class III
Solan,Himachal Pradesh,Municipal Council,"34,206",
Vapi,Gujarat,Industrial Notified Area,"34,162",Class III
Sanawad,Madhya Pradesh,Municipality,"34,114",
Warisaliganj,Bihar,Nagar Panchayat.,"34,056",Class III
Revelganj,Bihar,Municipality,"34,042",
Sabalgarh,Madhya Pradesh,Urban Agglomeration,"34,039",
Tuljapur,Maharashtra,Municipal Council,"34,011",Class III
Simdega,Jharkhand,Notified area,"33,981",
Musabani,Jharkhand,Census town,"33,980",
Kodungallur,Kerala,Municipality,"33,935",Class III
Phulabani,Odisha,Notified area committee / Notified Area Council,"33,890",
Umreth,Gujarat,Municipality,"33,762",Class III
Narsipatnam,Andhra Pradesh,Census town,"33,757",Class III
Nautanwa,Uttar Pradesh,Nagar Palika Parishad,"33,753",Class III
Rajgir,Bihar,Notified area,"33,738",
Yellandu,Telangana,Municipality,"33,732",Class III
Sathyamangalam,Tamil Nadu,Municipality,"33,722",
Pilibanga,Rajasthan,Municipality,"33,608",
Morshi,Maharashtra,Municipal Council,"33,607",
Pehowa,Haryana,Municipal Committee,"33,564",
Sonepur,Bihar,Notified area,"33,490",
Pappinisseri,Kerala,Census town,"33,273",
Zamania,Uttar Pradesh,Nagar Panchayat,"33,243",Class III
Mihijam,Jharkhand,Notified area,"33,236",
Purna,Maharashtra,Municipal Council,"33,225",
Puliyankudi,Tamil Nadu,Municipality,"33,187",
"Shikarpur, Bulandshahr",Uttar Pradesh,Municipal board,"33,187",
Umaria,Madhya Pradesh,Municipality,"33,114",Class III
Porsa,Madhya Pradesh,Municipality,"33,103",
Naugawan Sadat,Uttar Pradesh,Nagar Panchayat,"32,954",Class III
Fatehpur Sikri,Uttar Pradesh,Municipal board.,"32,905",Class III
Manuguru,Telangana,Census town,"32,893",
Udaipur,Tripura,Municipal Council,"32,758",Class III
Pipar City,Rajasthan,Municipality,"32,735",
Pattamundai,Odisha,Notified area committee / Notified Area Council,"32,730",
Nanjikottai,Tamil Nadu,Census town,"32,689",Class III
Taranagar,Rajasthan,Municipality,"32,640",Class III
Yerraguntla,Andhra Pradesh,Census town,"32,574",Class III
Satana,Maharashtra,Municipal Council,"32,561",
Sherghati,Bihar,Notified area,"32,526",
Sankeshwara,Karnataka,Town Municipal Council,"32,511",
Madikeri,Karnataka,Town Municipal Council,"32,496",
Thuraiyur,Tamil Nadu,Municipality,"32,439",Class III
Sanand,Gujarat,Municipality,"32,417",
Rajula,Gujarat,Municipality,"32,395",
Kyathampalle,Telangana,Census town,"32,385",Class III
"Shahabad, Rampur",Uttar Pradesh,Nagar Panchayat,"32,370",
Tilda Newra,Chhattisgarh,Municipality,"32,331",Class III
Narsinghgarh,Madhya Pradesh,Municipality,"32,329",Class III
Chittur-Thathamangalam,Kerala,Municipality,"32,298",Class III
Malaj Khand,Madhya Pradesh,Municipality,"32,296",
Sarangpur,Madhya Pradesh,Municipality,"32,294",
Robertsganj,Uttar Pradesh,Municipal board,"32,243",
Sirkali,Tamil Nadu,Municipality,"32,228",
Radhanpur,Gujarat,Municipality,"32,191",
Tiruchendur,Tamil Nadu,Town Panchayat,"32,171",Class III
Utraula,Uttar Pradesh,Nagar Palika Parishad.,"32,145",Class III
Patratu,Jharkhand,Census town,"32,134",
"Vijainagar, Ajmer",Rajasthan,Municipality,"32,124",Class III
Periyasemur,Tamil Nadu,Town Panchayat,"32,024",
Pathri,Maharashtra,Municipal Council,"32,001",
Sadabad,Uttar Pradesh,Nagar Panchayat,"31,742",
Talikota,Karnataka,Town Municipal Council,"31,693",Class III
Sinnar,Maharashtra,Municipal Council,"31,630",
Mungeli,Chhattisgarh,Urban Agglomeration,"31,613",
Sedam,Karnataka,Town Municipal Council,"31,539",
Shikaripur,Karnataka,Town Municipal Council,"31,516",
Sumerpur,Rajasthan,Municipality,"31,482",
Sattur,Tamil Nadu,Municipality,"31,443",
Sugauli,Bihar,Notified area,"31,432",
Lumding,Assam,Municipal board,"31,347",Class III
Vandavasi,Tamil Nadu,Municipality,"31,320",Class III
Titlagarh,Odisha,Notified area committee / Notified Area Council ,"31,258",Class III
Uchgaon,Maharashtra,Census town,"31,238",Class III
Mokokchung,Nagaland,Town Committee / Town Area Committee,"31,214",
Paschim Punropara,West Bengal,Census town,"31,198",
Sagwara,Rajasthan,Municipality,"31,127",
Ramganj Mandi,Rajasthan,Municipality,"30,973",
Tarakeswar,West Bengal,Municipality,"30,947",Class III
Mahalingapura,Karnataka,Town Municipal Council,"30,858",
Dharmanagar,Tripura,Municipal Council,"30,785",Class III
Mahemdabad,Gujarat,Municipality,"30,768",
Manendragarh,Chhattisgarh,Municipality,"30,758",
Uran,Maharashtra,Municipal Council,"30,439",Class III
Tharamangalam,Tamil Nadu,Town Panchayat,"30,222",Class III
Tirukkoyilur,Tamil Nadu,Town Panchayat,"30,212",Class III
Pen,Maharashtra,Municipal Council,"30,201",
Makhdumpur,Bihar,Notified area,"30,109",
Maner,Bihar,Notified area,"30,082",
Oddanchatram,Tamil Nadu,Town Panchayat,"30,064",Class III
Palladam,Tamil Nadu,Town Panchayat,"30,016",
Mundi,Madhya Pradesh,Nagar Panchayat,"30,000",
Nabarangapur,Odisha,Municipality,"29,960",Class III
Mudalagi,Karnataka,Town Municipal Council,"29,893",
Samalkha,Haryana,Municipal Committee,"29,866",
Nepanagar,Madhya Pradesh,Municipality,"29,682",Class III
Karjat,Maharashtra,Municipal Council,"29,663",Class III
Ranavav,Gujarat,Urban Agglomeration,"29,645",
Pedana,Andhra Pradesh,Nagar Panchayat,"29,613",
Pinjore,Haryana,Urban Agglomeration,"29,609",
Lakheri,Rajasthan,Municipality,"29,572",Class III
Pasan,Madhya Pradesh,Municipality,"29,565",
Puttur,Andhra Pradesh,Census town,"29,436",
Vadakkuvalliyur,Tamil Nadu,Town Panchayat,"29,417",Class III
Tirukalukundram,Tamil Nadu,Town Panchayat,"29,391",Class III
Mahidpur,Madhya Pradesh,Urban Agglomeration,"29,379",
Mussoorie,Uttarakhand,Urban Agglomeration,"29,329",
Muvattupuzha,Kerala,Municipality,"29,246",
Rasra,Uttar Pradesh,Municipal board,"29,238",
Udaipurwati,Rajasthan,Municipality,"29,236",Class III
Manwath,Maharashtra,Municipal Council,"29,218",
Adoor,Kerala,Municipality,"29,171",Class III
Uthamapalayam,Tamil Nadu,Town Panchayat,"29,050",Class III
Partur,Maharashtra,Municipal Council,"29,012",
Nahan,Himachal Pradesh,Municipal Council,"28,899",Class III
Ladwa,Haryana,Municipal Committee,"28,887",Class III
Mankachar,Assam,Census town,"28,780",
Nongstoin,Meghalaya,Town Committee / Town Area Committee,"28,742",Class III
Losal,Rajasthan,Municipality,"28,504",Class III
Sri Madhopur,Rajasthan,Municipality,"28,492",
Ramngarh,Rajasthan,Municipality,"28,458",
Mavelikkara,Kerala,Municipality,"28,439",
Rawatsar,Rajasthan,Municipality,"28,387",
Rajakhera,Rajasthan,Municipality,"28,349",
Lar,Uttar Pradesh,Nagar Panchayat,"28,307",Class III
Lal Gopalganj Nindaura,Uttar Pradesh,Nagar Panchayat,"28,288",Class III
Muddebihal,Karnataka,Town Municipal Council,"28,219",
Sirsaganj,Uttar Pradesh,Urban Agglomeration,"28,212",
Shahpura,Rajasthan,Municipality,"28,174",
Surandai,Tamil Nadu,Town Panchayat,"28,146",
Sangole,Maharashtra,Municipal Council,"28,116",
Pavagada,Karnataka,Town Panchayat,"28,068",
Tharad,Gujarat,Municipality,"27,954",Class III
Mansa,Gujarat,Municipality,"27,922",
Umbergaon,Gujarat,Municipality,"27,859",Class III
Mavoor,Kerala,Census town,"27,845",
Nalbari,Assam,Municipal board,"27,839",Class III
Talaja,Gujarat,Municipality,"27,822",Class III
Malur,Karnataka,Town Municipal Council,"27,815",
Mangrulpir,Maharashtra,Municipal Council,"27,815",
Soro,Odisha,Notified area committee / Notified Area Council,"27,794",
Shahpura,Rajasthan,Municipality,"27,792",
Vadnagar,Gujarat,Municipality,"27,790",Class III
Raisinghnagar,Rajasthan,Municipality,"27,736",
Sindhagi,Karnataka,Town Municipal Council,"27,732",
Sanduru,Karnataka,Town Panchayat,"27,614",
Sohna,Haryana,Municipal Committee,"27,570",
Manavadar,Gujarat,Municipality,"27,563",
Pihani,Uttar Pradesh,Municipal board,"27,545",
Safidon,Haryana,Municipal Committee,"27,541",
Risod,Maharashtra,Municipal Council,"27,516",
Rosera,Bihar,Municipality,"27,492",
Sankari,Tamil Nadu,Town Panchayat,"27,454",
Malpura,Rajasthan,Urban Agglomeration,"27,360",
Sonamukhi,West Bengal,Municipality,"27,354",
"Shamsabad, Agra",Uttar Pradesh,Municipal board,"27,338",
Nokha,Bihar,Nagar Panchayat,"27,302",Class III
PandUrban Agglomeration,West Bengal,Census town,"27,161",
Mainaguri,West Bengal,Census town,"27,106",
Afzalpur,Karnataka,Town Panchayat,"27,088",Class III
Shirur,Maharashtra,Municipal Council,"26,999",
Salaya,Gujarat,Municipality,"26,875",
Shenkottai,Tamil Nadu,Municipality,"26,838",
Pratapgarh,Tripura,Census town,"26,837",
Vadipatti,Tamil Nadu,Town Panchayat,"26,830",Class III
Nagarkurnool,Telangana,Census town,"26,801",Class III
Savner,Maharashtra,Municipal Council,"26,712",
Sasvad,Maharashtra,Municipal Council,"26,689",
Rudrapur,Uttar Pradesh,Nagar Panchayat,"26,683",
Soron,Uttar Pradesh,Municipal board,"26,678",
Sholingur,Tamil Nadu,Town Panchayat,"26,652",
Pandharkaoda,Maharashtra,Municipal Council,"26,572",
Perumbavoor,Kerala,Municipality,"26,547",
Maddur,Karnataka,Town Municipal Council,"26,521",
Nadbai,Rajasthan,Municipality,"26,411",Class III
Talode,Maharashtra,Municipal Council,"26,363",Class III
Shrigonda,Maharashtra,Municipal Council,"26,324",
Madhugiri,Karnataka,Town Municipal Council,"26,304",
Tekkalakote,Karnataka,Town Panchayat,"26,224",Class III
Seoni-Malwa,Madhya Pradesh,Municipality,"26,202",
Shirdi,Maharashtra,Municipal Council,"26,184",
SUrban Agglomerationr,Uttar Pradesh,Municipal board,"26,149",
Terdal,Karnataka,Town Municipal Council,"26,088",Class III
Raver,Maharashtra,Municipal Council,"25,993",
Tirupathur,Tamil Nadu,Town Panchayat,"25,980",Class III
Taraori,Haryana,Municipal Committee.,"25,944",Class III
Mukhed,Maharashtra,Municipal Council,"25,933",
Manachanallur,Tamil Nadu,Town Panchayat,"25,931",
Rehli,Madhya Pradesh,Municipality,"25,890",
Sanchore,Rajasthan,Municipality,"25,884",
Rajura,Maharashtra,Municipal Council,"25,843",
Piro,Bihar,Notified area,"25,811",
Mudabidri,Karnataka,Town Municipal Council,"25,713",
Vadgaon Kasba,Maharashtra,Municipal Council,"25,651",Class III
Nagar,Rajasthan,Municipality,"25,572",Class III
Vijapur,Gujarat,Municipality,"25,558",Class III
Viswanatham,Tamil Nadu,Census town,"25,555",Class III
Polur,Tamil Nadu,Town Panchayat,"25,505",
Panagudi,Tamil Nadu,Town Panchayat,"25,501",
Manawar,Madhya Pradesh,Municipality,"25,467",
Tehri,Uttarakhand,Nagar Palika Parishad.,"25,423",Class III
Samdhan,Uttar Pradesh,Nagar Panchayat,"25,327",
Pardi,Gujarat,Municipality,"25,275",
Rahatgarh,Madhya Pradesh,Nagar Panchayat,"25,215",
Panagar,Madhya Pradesh,Municipality,"25,199",
Uthiramerur,Tamil Nadu,Town Panchayat,"25,194",Class III
Tirora,Maharashtra,Municipal Council,"25,181",Class III
Rangia,Assam,Municipal board,"25,151",
Sahjanwa,Uttar Pradesh,Nagar Panchayat,"25,107",
Wara Seoni,Madhya Pradesh,Municipality,"25,103",Class III
Magadi,Karnataka,Town Municipal Council,"25,031",
Rajgarh (Alwar),Rajasthan,Municipality,"25,009",
Rafiganj,Bihar,Notified area,"24,992",
Tarana,Madhya Pradesh,Nagar Panchayat,"24,908",Class III
Rampur Maniharan,Uttar Pradesh,Nagar Panchayat,"24,844",
Sheoganj,Rajasthan,Municipality,"24,789",
Raikot,Punjab,Municipal Council,"24,769",
Pauri,Uttarakhand,Municipal board,"24,743",
Sumerpur,Uttar Pradesh,Nagar Panchayat,"24,661",
Navalgund,Karnataka,Town Municipal Council,"24,613",Class III
Shahganj,Uttar Pradesh,Municipal board,"24,602",
Marhaura,Bihar,Notified area,"24,548",
Tulsipur,Uttar Pradesh,Nagar Panchayat,"24,488",Class III
Sadri,Rajasthan,Municipality,"24,413",
Thiruthuraipoondi,Tamil Nadu,Municipality,"24,404",Class III
Shiggaon,Karnataka,Town Panchayat,"24,327",
Pallapatti,Tamil Nadu,Census town,"24,326",
Mahendragarh,Haryana,Municipal Committee,"24,323",
Sausar,Madhya Pradesh,Nagar Panchayat,"24,312",
Ponneri,Tamil Nadu,Town Panchayat,"24,309",
Mahad,Maharashtra,Municipal Council,"24,276",
Lohardaga,Jharkhand,Municipal Council,"24,125",Class III
Tirwaganj,Uttar Pradesh,Nagar Panchayat,"24,082",Class III
Margherita,Assam,Census town,"24,049",
Sundarnagar,Himachal Pradesh,Municipal Council,"23,986",
Rajgarh,Madhya Pradesh,Nagar Panchayat,"23,937",
Mangaldoi,Assam,Municipal board,"23,920",
Renigunta,Andhra Pradesh,Census town,"23,862",
Longowal,Punjab,Municipal Council,"23,851",Class III
Ratia,Haryana,Municipal Committee,"23,826",
Lalgudi,Tamil Nadu,Town Panchayat,"23,740",Class III
Shrirangapattana,Karnataka,Town Municipal Council,"23,729",
Niwari,Madhya Pradesh,Nagar Panchayat,"23,724",Class III
Natham,Tamil Nadu,Town Panchayat,"23,660",Class III
Unnamalaikadai,Tamil Nadu,Town Panchayat,"23,656",Class III
PurqUrban Agglomerationzi,Uttar Pradesh,Urban Agglomeration,"23,599",
"Shamsabad, Farrukhabad",Uttar Pradesh,Nagar Panchayat,"23,596",
Mirganj,Bihar,Notified area,"23,576",
Todaraisingh,Rajasthan,Municipality,"23,559",Class III
Warhapur,Uttar Pradesh,Nagar Panchayat.,"23,456",Class III
Rajam,Andhra Pradesh,Census town,"23,424",
Urmar Tanda,Punjab,Municipal Council,"23,419",Class III
Lonar,Maharashtra,Municipal Council,"23,416",Class III
Powayan,Uttar Pradesh,Nagar Panchayat,"23,406",
P.N.Patti,Tamil Nadu,Town Panchayat,"23,331",
Palampur,Himachal Pradesh,Town Panchayat,"23,331",
Srisailam Project (Right Flank Colony) Township,Andhra Pradesh,Census town,"23,273",
Sindagi,Karnataka,Town Municipal Council,"23,234",
Sandi,Uttar Pradesh,Municipal board,"23,234",
Vaikom,Kerala,Municipality,"23,234",Class III
Malda,West Bengal,Municipality,"23,218",
Tharangambadi,Tamil Nadu,Town Panchayat,"23,191",Class III
Sakaleshapura,Karnataka,Town Municipal Council,"23,176",
Lalganj,Bihar,Notified area committee / Notified Area Council,"23,124",Class III
Malkangiri,Odisha,Notified area committee / Notified Area Council,"23,114",
Rapar,Gujarat,Municipality,"23,057",
Mauganj,Madhya Pradesh,Nagar Panchayat,"23,024",
Todabhim,Rajasthan,Municipality,"22,977",Class III
Srinivaspur,Karnataka,Town Panchayat,"22,959",
Murliganj,Bihar,Notified area,"22,936",
Reengus,Rajasthan,Municipality,"22,932",
Sawantwadi,Maharashtra,Municipal Council,"22,901",
Tittakudi,Tamil Nadu,Town Panchayat,"22,894",Class III
Lilong,Manipur,Nagar Panchayat,"22,888",Class III
Rajaldesar,Rajasthan,Municipality,"22,836",
Pathardi,Maharashtra,Municipal Council,"22,827",
Achhnera,Uttar Pradesh,Nagar Panchayat.,"22,781",Class III
Pacode,Tamil Nadu,Town Panchayat,"22,781",
Naraura,Uttar Pradesh,Nagar Panchayat,"22,775",Class III
Nakur,Uttar Pradesh,Nagar Palika Parishad,"22,712",Class III
Palai,Kerala,Municipality,"22,640",
"Morinda, India",Punjab,Municipal Council,"22,635",
Manasa,Madhya Pradesh,Nagar Panchayat,"22,623",
Nainpur,Madhya Pradesh,Municipality,"22,607",Class III
Sahaspur,Uttar Pradesh,Nagar Panchayat,"22,606",
Pauni,Maharashtra,Municipal Council,"22,587",
Prithvipur,Madhya Pradesh,Nagar Panchayat,"22,535",
Ramtek,Maharashtra,Municipal Council,"22,516",
Silapathar,Assam,Town Committee / Town Area Committee,"22,516",
Songadh,Gujarat,Municipality,"22,431",
Safipur,Uttar Pradesh,Nagar Panchayat,"22,378",
Sohagpur,Madhya Pradesh,Nagar Panchayat,"22,339",
Mul,Maharashtra,Municipal Council,"22,330",
Sadulshahar,Rajasthan,Municipality,"22,326",
Phillaur,Punjab,Municipal Council,"22,302",
Sambhar,Rajasthan,Municipality,"22,293",
Prantij,Rajasthan,Municipality,"22,282",
Nagla,Uttarakhand,Census town,"22,258",Class III
Pattran,Punjab,Nagar Panchayat,"22,175",
Mount Abu,Rajasthan,Municipality,"22,152",
Reoti,Uttar Pradesh,Nagar Panchayat,"22,082",
Tenu dam-cum-Kathhara,Jharkhand,Census town.,"22,080",Class III
Panchla,West Bengal,Census town,"22,051",
Sitarganj,Uttarakhand,Municipal board,"22,027",
Pasighat,Arunachal Pradesh,Census town,"21,965",
Motipur,Bihar,Notified area,"21,957",
O' Valley,Tamil Nadu,Town Panchayat,"21,943",Class III
Raghunathpur,West Bengal,Municipality,"21,932",
Suriyampalayam,Tamil Nadu,Town Panchayat,"21,923",
Qadian,Punjab,Municipal Council,"21,899",Class III
Rairangpur,Odisha,Notified area committee / Notified Area Council,"21,896",
Silvassa,Dadra and Nagar Haveli,Census town,"21,893",
Nowrozabad (Khodargama),Madhya Pradesh,Nagar Panchayat,"21,883",Class III
Mangrol,Rajasthan,Municipality,"21,842",
Soyagaon,Maharashtra,Census town,"21,819",
Sujanpur,Punjab,Municipal Council,"21,815",
Manihari,Bihar,Notified area,"21,803",
Sikanderpur,Uttar Pradesh,Nagar Panchayat,"21,783",
Mangalvedhe,Maharashtra,Municipal Council,"21,706",
Phulera,Rajasthan,Municipality,"21,643",
Ron,Karnataka,Town Panchayat,"21,643",
Sholavandan,Tamil Nadu,Town Panchayat,"21,638",
Saidpur,Uttar Pradesh,Nagar Panchayat,"21,568",
Shamgarh,Madhya Pradesh,Nagar Panchayat,"21,507",
Thammampatti,Tamil Nadu,Town Panchayat,"21,503",Class III
Maharajpur,Madhya Pradesh,Nagar Panchayat,"21,490",
Multai,Madhya Pradesh,Nagar Panchayat,"21,423",
Mukerian,Punjab,Municipal Council,"21,384",
Sirsi,Uttar Pradesh,Nagar Panchayat,"21,373",
Purwa,Uttar Pradesh,Nagar Panchayat,"21,271",
Sheohar,Bihar,Notified area,"21,262",
Namagiripettai,Tamil Nadu,Town Panchayat,"21,250",Class III
Parasi,Uttar Pradesh,Census town,"21,206",
Lathi,Gujarat,Municipality,"21,173",Class III
Lalganj,Uttar Pradesh,Nagar Panchayat,"21,142",Class III
Narkhed,Maharashtra,Municipal Council,"21,127",Class III
Mathabhanga,West Bengal,Municipality,"21,107",
Shendurjana,Maharashtra,Municipal Council,"21,083",
Peravurani,Tamil Nadu,Town Panchayat,"21,045",
Mariani,Assam,Town Committee / Town Area Committee,"20,997",
Phulpur,Uttar Pradesh,Nagar Panchayat,"20,986",
Rania,Haryana,Municipal Committee,"20,961",
Pali,Madhya Pradesh,Nagar Panchayat,"20,942",
Pachore,Madhya Pradesh,Nagar Panchayat,"20,939",
Parangipettai,Tamil Nadu,Town Panchayat,"20,912",
Pudupattinam,Tamil Nadu,Census town,"20,901",
Panniyannur,Kerala,Census town,"20,863",
Maharajganj,Bihar,Notified area,"20,860",
Rau,Madhya Pradesh,Nagar Panchayat,"20,855",
Monoharpur,West Bengal,Census town,"20,846",
Mandawa,Rajasthan,Municipality,"20,830",
Marigaon,Assam,Town Committee / Town Area Committee,"20,811",
Pallikonda,Tamil Nadu,Town Panchayat,"20,771",
Pindwara,Rajasthan,Municipality,"20,765",
Shishgarh,Uttar Pradesh,Nagar Panchayat,"20,684",
Patur,Maharashtra,Municipal Council,"20,538",
Mayang Imphal,Manipur,Nagar Panchayat,"20,532",
Mhowgaon,Madhya Pradesh,Nagar Panchayat,"20,523",
Guruvayoor,Kerala,Municipality,"20,510",Class III
Mhaswad,Maharashtra,Municipal Council,"20,500",
Sahawar,Uttar Pradesh,Nagar Panchayat,"20,470",
Sivagiri,Tamil Nadu,Town Panchayat,"20,380",
Mundargi,Karnataka,Town Panchayat,"20,363",
Punjaipugalur,Tamil Nadu,Town Panchayat,"20,309",
Kailasahar,Tripura,Nagar Panchayat,"20,279",Class III
Samthar,Uttar Pradesh,Municipal board,"20,217",
Sakti,Chhattisgarh,Nagar Panchayat,"20,213",
Sadalagi,Karnataka,Town Panchayat,"20,202",
Silao,Bihar,Notified area,"20,177",
Mandalgarh,Rajasthan,Municipality,"20,169",
Loha,Maharashtra,Municipal Council,"20,148",Class III
Pukhrayan,Uttar Pradesh,Municipal board,"20,107",
Padmanabhapuram,Tamil Nadu,Municipality,"20,075",
Belonia,Tripura,Municipal Council,"19,996",Class IV
Saiha,Mizoram,Notified Town,"19,731",
Srirampore,West Bengal,,19500,
Talwara,Punjab,Census town,"19,485",Class IV
Puthuppally,Kerala,Municipality,"18,850",
Khowai,Tripura,Municipal Council,"18,526",Class IV
Vijaypur,Madhya Pradesh,Nagar Panchayat.,"16,964",Class IV
Takhatgarh,Rajasthan,Municipality,"16,729",Class IV
Thirupuvanam,Tamil Nadu,Town Panchayat,"14,989",Class IV
Adra,West Bengal,Census town.,"14,956",Class IV
Piriyapatna,Karnataka,Census town,"14,924",
Obra,Uttar Pradesh,Nagar Panchayat,"14,786",Class IV
Adalaj,Gujarat,Census town.,"11,957",Class IV
Nandgaon,Maharashtra,Nagar Panchayat,"11,517",Class IV
Barh,Bihar,Census town,"10,803",Class IV
Chhapra,Gujarat,Census town,"10,147",Class IV
Panamattom,Kerala,Notified area,"10,032",
Niwai,Uttar Pradesh,Nagar Panchayat,"9,205",Class V
Bageshwar,Uttarakhand,Nagar Palika Parishad,"9,079",Class V
Tarbha,Odisha,Notified area committee / Notified Area Council.,"8,334",Class V
Adyar,Karnataka,Census town.,"7,034",Class V
Narsinghgarh,Madhya Pradesh,Census town,"6,735",Class V
Warud,Maharashtra,Municipal Council,"6,386",Class V
Asarganj,Bihar,Census town.,"6,327",Class V
Sarsod,Haryana,Gram Panchayat,"4,630",
